242,124
242,126
247,126
247,128
239,128
239,130
245,130
245,132
243,132
243,134
233,134
233,136
235,136
235,138
230,138
230,140
232,140
232,142
231,142
231,144
226,144
226,146
224,146
224,148
222,148
222,150
223,150
223,152
217,152
217,154
216,154
216,156
215,156
215,158
212,158
212,160
210,160
210,162
207,162
207,164
206,164
206,166
205,166
205,168
201,168
201,170
200,170
200,172
198,172
198,174
196,174
196,176
193,176
193,178
192,178
192,180
190,180
190,182
188,182
188,184
186,184
186,186
183,186
183,188
182,188
182,190
180,190
180,192
178,192
178,193
176,193
176,196
174,196
174,199
172,199
172,200
170,200
170,202
168,202
168,204
166,204
166,205
164,205
164,209
162,209
162,208
160,208
160,212
158,212
158,213
156,213
156,216
154,216
154,221
152,221
152,219
150,219
150,222
148,222
148,224
146,224
146,225
144,225
144,226
142,226
142,228
140,228
140,235
138,235
138,232
136,232
136,239
134,239
134,238
132,238
132,233
130,233
130,241
128,241
128,240
126,240
126,242
124,242
124,247
122,247
122,245
120,245
120,246
118,246
118,243
116,243
116,237
114,237
114,244
112,244
112,236
110,236
110,231
108,231
108,234
106,234
106,229
104,229
104,230
102,230
102,227
100,227
100,223
98,223
98,220
96,220
96,217
94,217
94,218
92,218
92,215
90,215
90,214
88,214
88,211
86,211
86,210
84,210
84,207
82,207
82,206
80,206
80,203
78,203
78,201
75,201
75,198
74,198
74,197
72,197
72,195
70,195
70,194
68,194
68,191
66,191
66,189
64,189
64,187
61,187
61,185
60,185
60,183
58,183
58,181
56,181
56,179
54,179
54,177
51,177
51,175
50,175
50,173
47,173
47,171
46,171
46,169
43,169
43,167
42,167
42,165
41,165
41,163
37,163
37,161
36,161
36,159
33,159
33,157
32,157
32,155
28,155
28,153
29,153
29,151
26,151
26,149
24,149
24,147
22,147
22,145
17,145
17,143
20,143
20,141
14,141
14,139
13,139
13,137
16,137
16,135
7,135
7,133
10,133
10,131
4,131
4,129
2,129
2,127
6,127
6,125
8,125
8,123
218,123
218,121
3,121
3,119
9,119
9,117
0,117
0,115
1,115
1,113
15,113
15,111
5,111
5,109
12,109
12,107
11,107
11,105
19,105
19,103
21,103
21,101
18,101
18,99
23,99
23,97
27,97
27,95
25,95
25,93
30,93
30,91
31,91
31,89
35,89
35,87
34,87
34,85
39,85
39,83
38,83
38,81
40,81
40,79
44,79
44,77
45,77
45,75
48,75
48,73
49,73
49,71
52,71
52,69
53,69
53,67
55,67
55,64
57,64
57,63
59,63
59,62
62,62
62,59
63,59
63,57
65,57
65,55
67,55
67,53
69,53
69,51
71,51
71,49
73,49
73,47
76,47
76,44
77,44
77,42
79,42
79,41
81,41
81,39
83,39
83,36
85,36
85,34
87,34
87,32
89,32
89,28
91,28
91,31
93,31
93,27
95,27
95,24
97,24
97,25
99,25
99,22
101,22
101,19
103,19
103,13
105,13
105,14
107,14
107,17
109,17
109,15
111,15
111,6
113,6
113,11
115,11
115,12
117,12
117,8
119,8
119,1
121,1
121,9
123,9
123,0
125,0
125,4
127,4
127,2
129,2
129,7
131,7
131,3
133,3
133,5
135,5
135,10
137,10
137,16
139,16
139,18
141,18
141,20
143,20
143,21
145,21
145,23
147,23
147,26
149,26
149,30
151,30
151,29
153,29
153,33
155,33
155,35
157,35
157,37
159,37
159,38
161,38
161,40
163,40
163,43
165,43
165,45
167,45
167,46
169,46
169,48
171,48
171,50
173,50
173,52
175,52
175,54
177,54
177,56
179,56
179,58
181,58
181,60
184,60
184,61
185,61
185,65
187,65
187,66
189,66
189,68
191,68
191,70
194,70
194,72
195,72
195,74
197,74
197,76
199,76
199,78
202,78
202,80
203,80
203,82
204,82
204,84
208,84
208,86
209,86
209,88
211,88
211,90
213,90
213,92
214,92
214,94
219,94
219,96
220,96
220,98
221,98
221,100
225,100
225,102
227,102
227,104
228,104
228,106
234,106
234,108
229,108
229,110
236,110
236,112
240,112
240,114
238,114
238,116
241,116
241,118
237,118
237,120
246,120
246,122
244,122
244,124
